Book Title,Customer ID,Rating,Review Date,ISBN
Ghar Ko Prabhat,C3785,4,2023-10-22,978-9937-631-15-0
Chhito Manzil,C9726,1,2023-03-30,978-9937-292-36-2
Ramailo Ghar Ko Ramailo,C6383,2,2021-12-25,978-9937-355-62-4
Chhito Khusi Yatra,C9601,1,2020-06-22,978-9937-866-21-6
Chhakka Panja,C9542,2,2019-06-20,978-9937-579-94-6
Sajilo Samaya,C7864,1,2021-07-25,978-9937-190-57-5
Botany: An Introduction,C8390,2,2020-06-29,978-9937-332-16-8
Investment Analysis and Portfolio Management,C4258,2,2023-10-13,978-9937-216-29-2
Kaal Ko Ghar,C5582,3,2021-04-11,978-9937-795-37-8
Basanta Ritu,C5915,4,2019-02-11,978-9937-143-31-4
Naya Din,C2905,3,2019-08-10,978-9937-222-44-8
Water Resources Engineering,C4059,5,2019-10-18,978-9937-105-89-8
Guidance and Counseling in Education,C4766,5,2023-02-28,978-9937-599-32-7
Jaun,C1473,1,2019-07-14,978-9937-398-36-2
Jatiya Adhikar,C1734,4,2022-11-11,978-9937-458-31-2
Sajilo Samaya,C1453,2,2019-11-18,978-9937-190-57-5
Environmental Chemistry,C4352,4,2021-11-10,978-9937-690-29-9
Chitwan Ka Katha,C7714,1,2020-08-13,978-9937-408-38-7
Dharma Ko Yatra,C2755,2,2020-11-14,978-9937-508-73-0
Pramod,C9770,4,2023-06-01,978-9937-348-27-8
Khushi Ko Ramailo Yatra,C8198,1,2023-11-11,978-9937-453-89-4
Nepal Ko Prashasan,C3619,1,2022-10-11,978-9937-553-29-3
Nepal Ko Manav,C3852,1,2021-04-26,978-9937-571-73-3
Kura Kura,C9155,4,2022-11-24,978-9937-732-77-3
Khusi Ko Sathi,C9693,3,2018-12-10,978-9937-277-27-9
Chhito Khushi Sundar,C4852,3,2019-06-15,978-9937-392-58-7
Aasha ko Ghar,C2257,4,2022-01-03,978-9937-771-37-3
Nepal Ko Ghar Yatra,C9749,3,2019-12-27,978-9937-684-69-1
Sanjha Ko Dhamaka,C4438,4,2019-04-24,978-9937-107-28-0
Anand Ko Samaya,C2666,3,2020-01-02,978-9937-450-54-0
The Impact of Climate Change,C2454,2,2024-07-03,978-9937-162-11-0
Social Issues and Problems in Nepal,C6538,2,2024-06-19,978-9937-241-41-3
Muktak Ko Ramailo,C9965,3,2022-02-26,978-9937-638-78-6
Manavadhikar Ra Bikas,C2345,4,2022-05-16,978-9937-899-20-8
Advertising: Theory and Strategy,C1231,3,2019-01-08,978-9937-965-26-4
Principles of Marketing,C8856,2,2020-11-24,978-9937-941-14-2
Asha Ko Sathi,C1886,4,2020-03-11,978-9937-798-39-7
Shiksha Ra Samasya,C2731,5,2023-05-09,978-9937-825-37-0
Environmental Chemistry,C3432,4,2018-11-13,978-9937-690-29-9
Phool Ko Katha,C6407,1,2019-07-16,978-9937-197-54-0
Public Policy: Theory and Practice,C1334,1,2022-03-05,978-9937-234-21-6
Aasha ko Ghar,C3167,3,2024-01-16,978-9937-771-37-3
Chhito Ramailo Ghar Kahani,C1111,4,2024-05-10,978-9937-521-68-3
Prakriti Ra Udyog,C9009,4,2023-02-19,978-9937-522-96-3
Electronics and Communication Engineering,C1900,1,2023-01-28,978-9937-459-14-5
Arthik Bato,C4942,1,2023-09-01,978-9937-779-26-4
Chhalphal Ko Kahani,C5657,1,2020-03-20,978-9937-818-83-1
History of Nepal: Ancient to Modern,C1656,4,2020-02-02,978-9937-446-99-7
Nepal Ko Udyog Ko Itihas,C7571,5,2023-10-08,978-9937-567-84-4
Arthik Adhikar Ra Bato,C1294,5,2021-10-28,978-9937-550-56-0
Sahara,C5862,2,2022-09-20,978-9937-401-82-7
Chhalphal Sundar Kahani,C9141,2,2019-06-20,978-9937-759-21-4
Maya Ra Sathi,C8324,2,2021-06-16,978-9937-647-42-3
Nepal Ko Sanskriti,C9987,5,2020-03-16,978-9937-328-41-5
Swagat,C4202,4,2019-03-14,978-9937-488-69-8
Manjushree,C9833,5,2019-07-22,978-9937-965-98-3
Photography: Principles and Practice,C4213,2,2022-07-18,978-9937-587-96-6
Sabai Ko Bhatta,C8981,5,2024-08-15,978-9937-828-89-5
Software Engineering Principles,C6411,1,2023-04-26,978-9937-946-82-1
Political Science,C7738,4,2021-06-13,978-9937-424-81-1
Sanjhi,C3698,2,2020-02-16,978-9937-953-44-7
Shrestha,C6960,2,2021-11-11,978-9937-682-99-4
Adhyan Ko Mahatv,C7550,2,2020-11-01,978-9937-602-24-2
Khasi Ko Bato,C3669,3,2022-06-05,978-9937-149-16-0
Sundar Shanta,C3725,4,2022-05-29,978-9937-231-39-4
Duniya Ko Katha,C5390,5,2019-12-27,978-9937-626-24-0
Statistics for Social Science,C2937,4,2022-05-08,978-9937-771-68-0
Arthik Sewa Ra Samasya,C5750,5,2023-07-30,978-9937-374-86-5
Bhulbhal,C2325,3,2023-01-16,978-9937-170-55-1
Baal Ramailo Pataka,C5626,4,2022-10-05,978-9937-806-45-8
Dhaak Ko Sathi,C7283,2,2024-06-06,978-9937-407-85-8
Janma,C4263,1,2021-11-07,978-9937-646-44-5
Chhalphal Ko Khushi,C2519,4,2023-11-07,978-9937-563-36-2
Manas,C9312,5,2021-04-17,978-9937-586-15-6
Hijo Aaja Kal,C1850,4,2021-01-16,978-9937-155-18-4
Farm Management,C5636,1,2020-10-29,978-9937-530-60-6
Naya Saathi,C4578,4,2019-09-12,978-9937-572-68-1
Sathi Haru Ko Manchhe,C2028,2,2021-01-31,978-9937-112-75-9
Pariwartan Ko Disha,C9228,5,2021-02-12,978-9937-216-64-2
Graphic Design Principles,C9766,1,2023-07-30,978-9937-917-64-0
Ghar Ko Dhan,C6598,4,2024-09-27,978-9937-479-34-1
Ek Chhito Sapana,C9415,5,2020-07-28,978-9937-342-89-4
Yugal Gurung,C2756,1,2021-11-29,978-9937-979-11-1
Journalism: Principles and Ethics,C3285,4,2019-02-08,978-9937-986-47-5
Sabai Ko Sangharsha,C5813,3,2023-01-20,978-9937-113-63-5
Chhito Bal Ghar,C8329,4,2021-12-30,978-9937-517-34-0
Chhito Khushi Ramailo Yatra,C9037,2,2019-06-05,978-9937-877-32-2
Bholi Ka Katha,C8515,2,2022-02-26,978-9937-508-97-6
Nepali Samaj Ko Vikas,C5684,5,2023-08-07,978-9937-487-85-9
Chhalphal Pataka Kahani,C4774,5,2020-08-29,978-9937-754-86-3
Maya Ra Sathi,C1878,3,2019-08-02,978-9937-647-42-3
Jatiya Sangharsha Ko Anubhav,C8323,4,2024-06-12,978-9937-522-80-4
Rato Bangala,C7083,4,2024-07-24,978-9937-956-35-3
Educational Leadership and Management,C6851,1,2019-08-19,978-9937-198-79-3
Chandra,C2966,4,2024-08-04,978-9937-699-28-8
Transportation Engineering: An Overview,C6156,1,2024-10-13,978-9937-857-74-5
Financial Management: Theory and Practice,C1542,3,2019-09-06,978-9937-986-42-4
Marine Biology: Concepts and Applications,C1505,1,2020-06-11,978-9937-939-66-6
Arthik Sewa Ra Samasya,C3106,4,2020-08-27,978-9937-374-86-5
Child Development and Learning,C7787,4,2022-06-03,978-9937-962-21-7
Bheti,C6759,3,2024-10-04,978-9937-381-66-4
Ramailo Katha,C7835,3,2023-09-08,978-9937-311-28-4
Physical Activity and Health,C4743,2,2023-08-17,978-9937-299-80-9
Statistical Inference,C1260,4,2020-07-05,978-9937-547-22-5
Information Systems Management,C7342,1,2021-04-12,978-9937-623-81-4
Exercise Physiology,C5563,2,2023-09-29,978-9937-232-63-2
Jatiya Adhikar Ra Udyog,C2073,1,2019-08-26,978-9937-751-83-5
Nepal Ko Ghar Ko Itihas,C2801,5,2024-08-26,978-9937-997-70-3
History of Mathematics,C6334,1,2023-06-08,978-9937-545-73-7
Yatra Yatra,C1381,1,2019-03-02,978-9937-483-76-7
Katha Haru Ko Udaan,C8995,1,2023-11-05,978-9937-108-38-3
Rashtriya Sewa,C8318,2,2022-12-10,978-9937-231-34-3
Yatra Ra Samasya,C5174,5,2021-11-21,978-9937-902-72-5
Prakriti Ra Itihas,C8580,2,2022-05-01,978-9937-434-45-1
Aama,C9670,4,2021-10-10,978-9937-547-47-3
Manavadhikar Ko Itihas Ra Bato,C5806,2,2023-05-01,978-9937-178-83-3
Gorkhali,C2089,2,2019-12-09,978-9937-311-18-7
Philosophy of Education,C9337,4,2019-12-28,978-9937-764-16-4
Janmabhumi,C4905,1,2021-01-16,978-9937-476-96-6
Anand Ra Duniya,C5370,5,2024-03-28,978-9937-940-19-5
Sustainable Agriculture,C6652,3,2023-08-02,978-9937-137-22-1
Shukrabar,C7114,5,2019-01-23,978-9937-455-23-2
Ramailo Chhito,C2134,4,2020-09-19,978-9937-322-73-5
Photography: Principles and Practice,C7009,3,2021-03-20,978-9937-587-96-6
Manas Ka Safar,C7641,2,2019-11-12,978-9937-140-21-7
Phool Ko Ghar,C4981,1,2021-08-04,978-9937-578-58-7
Chhalphal Ghar Ko Ramailo,C3893,1,2020-04-30,978-9937-665-67-2
Sikshya Ko Paila,C8076,1,2021-03-05,978-9937-541-43-6
Kora Swaas,C9965,2,2023-02-04,978-9937-964-89-7
Ujyaalo Aakash,C5538,5,2019-02-07,978-9937-790-68-8
Philosophy of Art,C3845,5,2024-05-18,978-9937-105-78-8
Maya Ra Sathi,C8870,4,2024-06-25,978-9937-647-42-3
Anubhav Ka Safar,C2555,2,2021-08-21,978-9937-535-95-3
Sita Ra Ram,C7282,3,2024-01-14,978-9937-858-33-0
Contemporary Nepali Society,C3008,2,2020-08-16,978-9937-670-35-8
Public Health Nutrition,C2931,4,2020-02-22,978-9937-337-50-2
Globalization and Its Impact,C5306,5,2020-04-21,978-9937-623-47-4
Guru,C8589,2,2020-09-02,978-9937-583-63-3
Arthik Adhikar Ra Bato,C1662,3,2019-06-01,978-9937-550-56-0
Saathi,C9469,1,2023-09-01,978-9937-752-19-9
Dhaak Ko Ghar,C9129,3,2023-12-01,978-9937-263-28-4
Linear Algebra,C2754,2,2020-12-20,978-9937-317-46-8
Maya Ko Ghar,C9426,2,2024-10-09,978-9937-952-78-7
Jatra,C6697,3,2023-08-19,978-9937-719-16-9
Sikshya Ko Paila,C6713,2,2019-12-17,978-9937-541-43-6
Aasha Ko Maya,C5221,3,2020-02-05,978-9937-441-72-8
Baal Yatra Ko Kahani,C9703,4,2024-05-17,978-9937-504-16-8
Bal Yatra Sundar,C5547,4,2019-07-12,978-9937-168-26-2
Mero Ghar,C3819,2,2020-04-12,978-9937-483-17-7
Nepal Ko Ghar Yatra,C1097,4,2021-04-13,978-9937-684-69-1
Buddhi Kura,C4268,3,2022-07-18,978-9937-739-41-7
Bal Ramailo,C5990,5,2023-12-15,978-9937-665-68-3
Shree Krishna,C4263,2,2021-06-30,978-9937-506-20-3
Samaya Ma Katha,C6522,3,2021-05-10,978-9937-776-66-5
Introduction to Management,C2544,3,2022-07-29,978-9937-954-27-9
Naya Samaya,C1265,3,2018-12-24,978-9937-738-38-8
Chhalphal Ghar Pataka,C2914,1,2020-10-23,978-9937-596-41-8
Yatra Ki Manzil,C9539,3,2023-07-07,978-9937-367-74-1
Prashanta,C1031,2,2023-06-03,978-9937-608-21-8
Language Teaching Methods,C8141,4,2021-09-24,978-9937-811-87-3
Big Data Technologies,C2193,2,2023-01-27,978-9937-112-13-4
Katha Haru Ko Udaan,C1218,2,2022-08-24,978-9937-108-38-3
Shiksha Ko Itihas,C8530,3,2022-05-22,978-9937-505-62-1
Man Ko Paila,C5247,4,2024-02-24,978-9937-931-68-0
Philosophy of Education,C1567,5,2021-08-15,978-9937-764-16-4
Naya Din,C9240,4,2022-07-16,978-9937-222-44-8
Manchheko Sahar,C8768,4,2018-12-08,978-9937-149-25-6
Yatra Ko Chha,C4961,2,2021-01-10,978-9937-522-53-9
Saalikharako Bato,C2025,3,2022-10-18,978-9937-578-70-2
Sathi Ko Maya,C7560,3,2022-01-26,978-9937-779-22-0
Sathi Ko Ramailo,C6475,5,2020-05-21,978-9937-377-11-0
Chhalphal Ghar Pataka,C2340,2,2019-10-24,978-9937-596-41-8
Bal Ramailo Pustak,C3902,1,2022-09-13,978-9937-236-99-5
Curriculum Development and Design,C8289,3,2022-07-21,978-9937-933-89-8
Pani Ko Duniya,C7805,5,2021-03-10,978-9937-846-35-7
Duniya Ko Dhan,C6517,5,2022-08-29,978-9937-677-61-3
Livestock Management,C6077,3,2021-10-23,978-9937-953-31-9
Ma Timro Sangai,C4565,5,2020-12-19,978-9937-394-47-5
Geological Hazards: Assessment and Management,C1779,5,2019-03-29,978-9937-537-72-6
Sabai Ko Bhatta,C6100,1,2023-04-09,978-9937-828-89-5
