Transaction Date,Book Title,ISBN,Customer ID,Quantity,Price (NPR)
2019-03-31,Bholi Ka Anand,978-9937-913-40-2,C7325,4,1060.0
2022-06-12,Pashupati,978-9937-723-41-7,C5803,4,219.0
2021-12-05,Chhito Sapana Ghar,978-9937-391-94-7,C1349,4,664.0
2023-10-09,Chhito Ghar Ko Paila,978-9937-679-91-9,C5371,1,447.0
2024-09-18,Yatra Ki Manzil,978-9937-367-74-1,C2511,1,379.0
2023-09-16,Brahma,978-9937-867-50-9,C6885,1,722.0
2019-03-31,Bholi Ka Anand,978-9937-913-40-2,C7325,4,1060.0
2022-06-12,Pashupati,978-9937-723-41-7,C5803,4,219.0
2020-05-30,Nepali Sangraha,978-9937-360-75-6,C8314,2,1177.0
2023-08-27,Bholi Ko Maya,978-9937-600-78-5,C4631,4,1509.0
2019-05-09,Physical Activity and Health,978-9937-299-80-9,C1471,4,569.0
2021-06-13,Hawa Mahal,978-9937-827-23-4,C7751,3,1018.0
2023-01-20,Rahasya,978-9937-843-45-0,C1035,1,1452.0
2018-12-18,Chalti Jatra,978-9937-170-33-4,C1241,4,428.0
2022-07-09,Hijo Aaja Kal,978-9937-155-18-4,C4687,2,600.0
2021-03-28,Baal Yatra Sundar Ghar,978-9937-411-38-2,C9597,5,1814.0
2021-08-20,Computer Networks: Principles and Applications,978-9937-381-94-6,C8393,2,515.0
2023-01-27,Anubhav Ka Safar,978-9937-535-95-3,C5499,3,742.0
2023-10-04,Chandani,978-9937-419-18-2,C5747,4,1787.0
2021-03-06,Samudayik Itihas,978-9937-938-27-4,C3773,4,973.0
2023-02-11,Shukrabar,978-9937-455-23-2,C3268,2,1845.0
2019-09-15,Dharmapath Ko Katha,978-9937-723-64-9,C2046,1,502.0
2023-02-09,Pratikriya,978-9937-318-19-5,C2995,5,800.0
2024-01-16,Maya Ko Shabdaharu,978-9937-854-95-1,C9308,2,1492.0
2022-01-18,Kahani Ghar,978-9937-398-17-7,C6448,3,300.0
2022-04-28,English Grammar and Composition,978-9937-158-55-5,C8221,2,766.0
2023-08-10,Maanav,978-9937-497-94-0,C3356,1,254.0
2020-03-01,Dhaak Ko Dhan,978-9937-532-19-9,C9965,4,1729.0
2023-09-07,Arthik Samasya,978-9937-690-15-9,C3343,3,431.0
2021-09-09,Chandra Ko Katha,978-9937-284-35-5,C7635,3,1709.0
2022-03-06,Ramailo Ghar,978-9937-586-85-5,C9554,5,858.0
2023-01-27,Bhuichalo,978-9937-898-88-5,C8827,5,867.0
2019-03-11,Manavadhikar Ra Vikas,978-9937-662-95-4,C7904,4,1233.0
2021-02-27,Yatra Ko Prasiddhi,978-9937-272-40-0,C2038,3,1925.0
2022-07-26,Prakriti Ra Adhikar,978-9937-699-92-0,C5155,2,1014.0
2021-10-30,Ghatana,978-9937-204-71-5,C9483,4,745.0
2021-07-03,Sajilo Ghar,978-9937-832-96-3,C1137,1,1448.0
2022-12-21,Ramesh,978-9937-130-36-7,C8343,1,472.0
2022-01-13,Nepal Ko Ramailo Ko Itihas,978-9937-892-56-7,C9747,5,777.0
2020-11-11,Maya Ko Ghar,978-9937-952-78-7,C2904,4,1891.0
2021-10-27,Shree 5,978-9937-466-75-0,C1759,5,1266.0
2020-01-06,Summer Love,978-9937-357-63-3,C4303,5,880.0
2021-03-02,Chal Pani,978-9937-504-62-9,C9811,4,1966.0
